ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-69.77,22.15,1,2021162,-69.77,22.15,1,13,6
-69.7,21.5476,1,2021163,-69.7528,21.6303,0,0,0
-69.7429,21.1025,1,2021164,-69.7262,21.1157,0,0,0
-69.7238,20.4157,1,2021165,-69.6917,20.606,0,0,0
-69.7351,20.1839,1,2021166,-69.6505,20.1016,0,0,0
-69.7303,19.79,1,2021167,-69.6039,19.6024,0,0,0
-69.5,18.62,1,2021168,-69.5533,19.1085,0,0,0
-69.4645,18.3416,1,2021169,-69.5,18.62,1,13,6
-69.3374,17.716,1,2021170,-69.4247,18.131,0,0,0
-69.2924,17.2768,1,2021171,-69.3178,17.6395,0,0,0
-69.2133,16.7593,1,2021172,-69.195,17.151,0,0,0
-69.1162,16.5006,1,2021173,-69.072,16.6711,0,0,0
-68.942,16.1255,1,2021174,-68.9647,16.2056,0,0,0
-68.9154,15.7261,1,2021175,-68.8888,15.76,0,0,0
-68.9226,15.0227,1,2021176,-68.86,15.34,1,13,6
-68.9556,14.5767,1,2021177,-68.8708,14.9324,0,0,0
-69.0425,14.1,1,2021178,-68.8993,14.5264,0,0,0
-69.0747,13.7116,1,2021179,-68.9396,14.1311,0,0,0
-69.0943,13.3748,1,2021180,-68.9858,13.7556,0,0,0
-69.133,13.1648,1,2021181,-69.0318,13.4092,0,0,0
-69.1399,12.9402,1,2021182,-69.0719,13.101,0,0,0
-69.1229,12.6466,1,2021183,-69.1,12.84,1,13,6
-69.1229,12.6466,1,2021184,-69.1178,12.6211,0,0,0
-69.1213,12.417,1,2021185,-69.1318,12.4284,0,0,0
-69.1423,12.2823,1,2021186,-69.1436,12.2552,0,0,0
-69.1291,12.046,1,2021187,-69.1548,12.0945,0,0,0
-69.1785,11.82,1,2021188,-69.1669,11.9396,0,0,0
-69.1785,11.82,1,2021189,-69.1815,11.7837,0,0,0
-69.2612,11.5313,1,2021190,-69.2,11.62,1,13,6
-69.2842,11.471,1,2021191,-69.2279,11.4568,0,0,0
-69.3038,11.3714,0,2021192,-69.2666,11.3029,0,0,0
-69.321,11.2334,0,2021193,-69.3122,11.1522,0,0,0
-69.3437,11.0581,0,2021194,-69.3604,10.9987,0,0,0
-69.3798,10.847,1,2021195,-69.4072,10.8362,0,0,0
-69.4932,10.5154,1,2021196,-69.4484,10.6587,0,0,0
-69.5311,10.3067,1,2021197,-69.48,10.46,1,13,6
-69.5814,10.0013,0,2021198,-69.5026,10.2172,0,0,0
-69.6441,9.6014,0,2021199,-69.521,9.9248,0,0,0
-69.7132,9.1488,0,2021200,-69.5368,9.6028,0,0,0
-69.7829,8.6851,0,2021201,-69.5518,9.2712,0,0,0
-69.8474,8.2519,0,2021202,-69.5679,8.9502,0,0,0
-69.9006,7.8909,0,2021203,-69.5867,8.6598,0,0,0
-69.9369,7.6437,0,2021204,-69.61,8.42,1,13,6
-69.9503,7.5521,1,2021205,-69.6457,8.2345,0,0,0
-69.9503,7.5521,1,2021206,-69.696,8.0832,0,0,0
-69.9503,7.5521,1,2021207,-69.7537,7.9504,0,0,0
-69.9503,7.5521,1,2021208,-69.812,7.8203,0,0,0
-69.9652,7.2817,1,2021209,-69.8637,7.6774,0,0,0
-69.8282,6.6447,1,2021210,-69.9021,7.5058,0,0,0
-69.8135,6.3412,1,2021211,-69.92,7.29,1,13,6
-69.8164,6.0127,0,2021212,-69.9251,6.9666,0,0,0
-69.8244,5.6728,0,2021213,-69.9294,6.5123,0,0,0
-69.8367,5.3226,0,2021214,-69.9331,5.9719,0,0,0
-69.8523,4.9631,0,2021215,-69.9361,5.3899,0,0,0
-69.8702,4.5955,0,2021216,-69.9382,4.8109,0,0,0
-69.8894,4.2208,0,2021217,-69.9395,4.2794,0,0,0
-69.9092,3.84,0,2021218,-69.94,3.84,1,13,6
-69.9284,3.4543,1,2021219,-69.9361,3.4904,0,0,0
-69.9511,3.0486,1,2021220,-69.9261,3.1862,0,0,0
-69.9264,2.7667,1,2021221,-69.9124,2.9085,0,0,0
-69.9328,2.3482,1,2021222,-69.8976,2.6388,0,0,0
-69.9374,2,1,2021223,-69.8839,2.3582,0,0,0
-69.9374,2,1,2021224,-69.8739,2.0482,0,0,0
-69.8111,1.3251,1,2021225,-69.87,1.69,1,13,6
-69.6887,0.8897,0,2021226,-69.8702,1.2449,0,0,0
-69.5745,0.5412,0,2021227,-69.8709,0.7109,0,0,0
-69.5008,0.1906,1,2021228,0,0,0,0,0
-69.4708,-0.1932,1,2021229,0,0,0,0,0
-69.5266,-0.6978,0,2021230,-69.8752,-1.0578,0,0,0
-69.662,-1.2968,0,2021231,-69.8774,-1.581,0,0,0
-69.8288,-1.9103,0,2021232,-69.88,-2.01,1,13,6
-69.9789,-2.4584,0,2021233,-69.8939,-2.3586,0,0,0
-70.0643,-2.8612,1,2021234,-69.9256,-2.6709,0,0,0
-70.09,-3.0994,1,2021235,-69.9685,-2.9559,0,0,0
-70.1055,-3.39,0,2021236,-70.016,-3.2223,0,0,0
-70.1174,-3.6996,0,2021237,-70.0615,-3.4792,0,0,0
-70.1221,-3.9512,1,2021238,-70.0984,-3.7355,0,0,0
-70.1182,-4.1126,1,2021239,-70.12,-4,1,13,6
-70.1123,-4.3464,1,2021240,-70.1303,-4.2809,0,0,0
-70.126,-4.5847,1,2021241,-70.1382,-4.5732,0,0,0
-70.1287,-4.8186,0,2021242,-70.1445,-4.8657,0,0,0
-70.1299,-5.0609,0,2021243,-70.15,-5.1477,0,0,0
-70.133,-5.3621,1,2021244,-70.1555,-5.408,0,0,0
-70.1743,-5.8216,1,2021245,-70.1619,-5.6358,0,0,0
-70.1982,-6.0251,0,2021246,-70.17,-5.82,1,13,6
-70.2192,-6.1924,0,2021247,-70.1802,-5.9718,0,0,0
-70.2359,-6.3184,0,2021248,-70.192,-6.11,0,0,0
-70.2469,-6.3979,0,2021249,-70.205,-6.2354,0,0,0
-70.2509,-6.4255,1,2021250,-70.2187,-6.3484,0,0,0
-70.2509,-6.4255,1,2021251,-70.2328,-6.4498,0,0,0
-70.2519,-6.4568,0,2021252,-70.2467,-6.5401,0,0,0
-70.255,-6.5314,0,2021253,-70.26,-6.62,1,13,6
-70.26,-6.62,1,2021254,-70.2744,-6.6858,0,0,0
-70.2796,-6.7318,1,2021255,-70.291,-6.7378,0,0,0
-70.2796,-6.7318,1,2021256,-70.308,-6.7821,0,0,0
-70.3219,-6.9158,1,2021257,-70.324,-6.8251,0,0,0
-70.3569,-7.0311,0,2021258,-70.3374,-6.8733,0,0,0
-70.3868,-7.1232,0,2021259,-70.3466,-6.9328,0,0,0
-70.3995,-7.2336,1,2021260,-70.35,-7.01,1,13,6
-70.3829,-7.3972,1,2021261,-70.3456,-7.1288,0,0,0
-70.3738,-7.5675,0,2021262,-70.3341,-7.3001,0,0,0
-70.3684,-7.7409,0,2021263,-70.3185,-7.511,0,0,0
-70.3633,-7.9183,0,2021264,-70.3015,-7.7484,0,0,0
-70.3554,-8.1007,0,2021265,-70.2859,-7.9994,0,0,0
-70.3415,-8.289,1,2021266,-70.2744,-8.2509,0,0,0
-70.27,-8.49,1,2021267,-70.27,-8.49,1,13,6
-70.282,-8.6099,0,2021268,-70.2792,-8.7269,0,0,0
-70.3057,-8.7046,0,2021269,-70.3038,-8.9769,0,0,0
-70.3228,-8.8405,1,2021270,-70.3393,-9.2345,0,0,0
-70.3283,-9.1278,1,2021271,-70.3812,-9.4942,0,0,0
-70.3643,-9.7377,1,2021272,-70.425,-9.7504,0,0,0
-70.4521,-10.1353,1,2021273,-70.4661,-9.9975,0,0,0
-70.4958,-10.3758,0,2021274,-70.5,-10.23,1,13,6
-70.5271,-10.5618,0,2021275,-70.5296,-10.4555,0,0,0
-70.5676,-10.7364,1,2021276,-70.5599,-10.6817,0,0,0
-70.6384,-10.9089,1,2021277,-70.5897,-10.9038,0,0,0
-70.6543,-11.0534,0,2021278,-70.6178,-11.1167,0,0,0
-70.666,-11.1775,0,2021279,-70.643,-11.3153,0,0,0
-70.674,-11.3034,0,2021280,-70.6641,-11.4948,0,0,0
-70.6786,-11.4535,0,2021281,-70.68,-11.65,1,13,6
-70.68,-11.65,1,2021282,-70.6908,-11.7749,0,0,0
-70.673,-11.9936,1,2021283,-70.6985,-11.8746,0,0,0
-70.6969,-12.3047,0,2021284,-70.7044,-11.9609,0,0,0
