ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-69.46,18.59,1,2021162,-69.46,18.59,1,39,11
-69.4169,18.148,0,2021163,-69.4089,18.1931,0,0,0
-69.3729,17.6965,0,2021164,-69.3605,17.7965,0,0,0
-69.3281,17.2367,0,2021165,-69.3156,17.4004,0,0,0
-69.2826,16.7699,0,2021166,-69.2752,17.0047,0,0,0
-69.2365,16.2973,0,2021167,-69.2402,16.6094,0,0,0
-69.19,15.82,1,2021168,-69.2115,16.2145,0,0,0
-69.1422,15.3294,1,2021169,-69.19,15.82,1,37,11
-69.126,14.8548,1,2021170,-69.1735,15.4127,0,0,0
-69.1681,14.4002,1,2021171,-69.1593,14.9881,0,0,0
-69.19,13.8114,1,2021172,-69.1468,14.5595,0,0,0
-69.1865,13.4886,0,2021173,-69.136,14.1401,0,0,0
-69.1768,13.2132,0,2021174,-69.1264,13.7433,0,0,0
-69.162,12.9842,0,2021175,-69.1179,13.3821,0,0,0
-69.1432,12.8003,0,2021176,-69.11,13.07,1,37,11
-69.1216,12.6603,0,2021177,-69.1022,12.8022,0,0,0
-69.0982,12.5631,1,2021178,-69.0943,12.5608,0,0,0
-69.0618,12.5083,1,2021179,-69.0868,12.3392,0,0,0
-69.065,12.2148,1,2021180,-69.0801,12.1309,0,0,0
-69.051,11.8654,1,2021181,-69.0748,11.9293,0,0,0
-69.0687,11.6422,1,2021182,-69.0713,11.7279,0,0,0
-69.1002,11.4397,0,2021183,-69.07,11.52,1,37,11
-69.1448,11.2476,0,2021184,-69.0901,11.3099,0,0,0
-69.1989,11.062,0,2021185,-69.1427,11.1047,0,0,0
-69.2589,10.879,0,2021186,-69.2159,10.9024,0,0,0
-69.321,10.6944,0,2021187,-69.298,10.7009,0,0,0
-69.3817,10.5044,1,2021188,-69.3772,10.4981,0,0,0
-69.4453,10.3075,1,2021189,-69.4418,10.2918,0,0,0
-69.48,10.08,1,2021190,-69.48,10.08,1,37,11
-69.48,10.08,1,2021191,-69.4984,9.8667,0,0,0
-69.4861,9.9733,0,2021192,-69.5125,9.6552,0,0,0
-69.5021,9.6968,0,2021193,-69.5237,9.4418,0,0,0
-69.5246,9.316,0,2021194,-69.5336,9.223,0,0,0
-69.5502,8.8964,0,2021195,-69.5436,8.9955,0,0,0
-69.5757,8.5034,1,2021196,-69.5552,8.7556,0,0,0
-69.6033,8.1164,0,2021197,-69.57,8.5,1,37,11
-69.6366,7.6819,0,2021198,-69.589,8.2241,0,0,0
-69.6741,7.2158,0,2021199,-69.6116,7.9281,0,0,0
-69.7141,6.7342,0,2021200,-69.6367,7.6152,0,0,0
-69.7552,6.2531,0,2021201,-69.6631,7.2887,0,0,0
-69.7956,5.7885,0,2021202,-69.6899,6.9518,0,0,0
-69.8339,5.3564,0,2021203,-69.7159,6.6078,0,0,0
-69.8685,4.9728,0,2021204,-69.74,6.26,1,37,11
-69.8978,4.6538,1,2021205,-69.765,5.9112,0,0,0
-69.9204,4.4189,1,2021206,-69.793,5.559,0,0,0
-69.9255,4.2226,1,2021207,-69.8213,5.1985,0,0,0
-69.8867,3.9923,1,2021208,-69.8477,4.8251,0,0,0
-69.866,3.3258,0,2021209,-69.8696,4.434,0,0,0
-69.8567,2.7774,1,2021210,-69.8845,4.0206,0,0,0
-69.8768,2.7289,1,2021211,-69.89,3.58,1,37,11
-69.8374,2.4071,1,2021212,-69.8629,3.0922,0,0,0
-69.8585,2.2734,1,2021213,-69.7929,2.5513,0,0,0
-69.661,0.7786,1,2021214,-69.6971,1.9743,0,0,0
-69.5661,0.5396,1,2021215,-69.5929,1.3778,0,0,0
-69.521,0.3109,1,2021216,-69.4971,0.7787,0,0,0
-69.437,-0.1922,1,2021217,-69.4271,0.1939,0,0,0
-69.4711,-0.7261,0,2021218,-69.4,-0.36,1,37,11
-69.5565,-1.2801,0,2021219,-69.4262,-0.8837,0,0,0
-69.6679,-1.841,0,2021220,-69.4955,-1.3928,0,0,0
-69.78,-2.3954,0,2021221,-69.5943,-1.8924,0,0,0
-69.8675,-2.9303,1,2021222,-69.7088,-2.3878,0,0,0
-69.9349,-3.4583,0,2021223,-69.8254,-2.8841,0,0,0
-70.0024,-3.9956,0,2021224,-69.9304,-3.3864,0,0,0
-70.0685,-4.5343,0,2021225,-70.01,-3.9,1,37,11
-70.1313,-5.0665,0,2021226,-70.0747,-4.4481,0,0,0
-70.1893,-5.5843,0,2021227,-70.1411,-5.034,0,0,0
-70.2408,-6.0798,0,2021228,-70.2049,-5.6328,0,0,0
-70.2841,-6.5451,0,2021229,-70.262,-6.2196,0,0,0
-70.3174,-6.9723,0,2021230,-70.3081,-6.7697,0,0,0
-70.3391,-7.3535,1,2021231,-70.3388,-7.2581,0,0,0
-70.35,-7.66,1,2021232,-70.35,-7.66,1,37,11
-70.3,-8.409,1,2021233,-70.3494,-7.9861,0,0,0
-70.2879,-8.6476,1,2021234,-70.348,-8.2711,0,0,0
-70.2903,-8.8524,0,2021235,-70.3461,-8.5265,0,0,0
-70.2963,-9.0641,1,2021236,-70.3439,-8.7636,0,0,0
-70.3119,-9.3322,1,2021237,-70.342,-8.994,0,0,0
-70.3466,-9.6146,1,2021238,-70.3406,-9.229,0,0,0
-70.4454,-10.0066,1,2021239,-70.34,-9.48,1,37,11
-70.4454,-10.0066,1,2021240,-70.3633,-9.7435,0,0,0
-70.5382,-10.3203,1,2021241,-70.4244,-10.0082,0,0,0
-70.5744,-10.559,1,2021242,-70.51,-10.2738,0,0,0
-70.5744,-10.559,1,2021243,-70.6067,-10.54,0,0,0
-70.6147,-10.7004,0,2021244,-70.7011,-10.8067,0,0,0
-70.7133,-11.0538,0,2021245,-70.78,-11.0734,0,0,0
-70.8365,-11.5131,0,2021246,-70.83,-11.34,1,37,11
-70.9508,-11.9721,0,2021247,-70.8568,-11.6085,0,0,0
-71.0225,-12.3246,1,2021248,-70.8766,-11.8797,0,0,0
-71.0563,-12.5706,0,2021249,-70.8924,-12.1518,0,0,0
-71.0809,-12.7864,0,2021250,-70.9069,-12.4228,0,0,0
-71.0992,-12.9801,0,2021251,-70.9228,-12.6908,0,0,0
-71.1139,-13.1601,0,2021252,-70.9429,-12.9539,0,0,0
-71.1279,-13.3347,0,2021253,-70.97,-13.21,1,37,11
-71.144,-13.512,0,2021254,-71.0146,-13.4558,0,0,0
-71.165,-13.7005,0,2021255,-71.0809,-13.6919,0,0,0
-71.1937,-13.9083,0,2021256,-71.1616,-13.9227,0,0,0
-71.2329,-14.1438,1,2021257,-71.2499,-14.1526,0,0,0
-71.3327,-14.4379,1,2021258,-71.3388,-14.3859,0,0,0
-71.3872,-14.6598,1,2021259,-71.4211,-14.6269,0,0,0
-71.49,-14.88,1,2021260,-71.49,-14.88,1,37,11
-71.577,-15.116,0,2021261,-71.5461,-15.1546,0,0,0
-71.6767,-15.3852,1,2021262,-71.5964,-15.4502,0,0,0
-71.8437,-15.738,1,2021263,-71.6431,-15.7569,0,0,0
-71.9002,-16.1697,1,2021264,-71.6885,-16.0643,0,0,0
-71.8737,-16.4695,1,2021265,-71.735,-16.3624,0,0,0
-71.8485,-16.9607,1,2021266,-71.7847,-16.641,0,0,0
-71.8984,-16.9857,1,2021267,-71.84,-16.89,1,37,11
-71.9289,-17.1064,1,2021268,-71.9065,-17.1086,0,0,0
-72.0546,-17.4252,1,2021269,-71.9844,-17.3075,0,0,0
-72.1331,-17.629,0,2021270,-72.0678,-17.4932,0,0,0
-72.1989,-17.7904,0,2021271,-72.1509,-17.6727,0,0,0
-72.2538,-17.9314,0,2021272,-72.2279,-17.8525,0,0,0
-72.3002,-18.0739,0,2021273,-72.2929,-18.0393,0,0,0
-72.34,-18.24,1,2021274,-72.34,-18.24,1,37,11
-72.3729,-18.445,0,2021275,-72.3725,-18.4651,0,0,0
-72.3985,-18.6819,0,2021276,-72.3989,-18.7125,0,0,0
-72.4193,-18.9388,0,2021277,-72.4212,-18.9698,0,0,0
-72.4377,-19.2038,0,2021278,-72.4414,-19.2247,0,0,0
-72.456,-19.465,0,2021279,-72.4616,-19.4646,0,0,0
-72.4766,-19.7107,0,2021280,-72.4838,-19.6772,0,0,0
-72.5019,-19.929,0,2021281,-72.51,-19.85,1,37,11
-72.5342,-20.108,0,2021282,-72.5396,-19.9837,0,0,0
-72.5759,-20.2359,1,2021283,-72.5706,-20.0934,0,0,0
-72.664,-20.3103,1,2021284,-72.6035,-20.1889,0,0,0
-72.7156,-20.4252,0,2021285,-72.6386,-20.2796,0,0,0
-72.7396,-20.499,1,2021286,-72.6761,-20.3753,0,0,0
-72.7396,-20.499,1,2021287,-72.7165,-20.4856,0,0,0
-72.7931,-20.7367,0,2021288,-72.76,-20.62,1,37,11
-72.891,-21.0647,1,2021289,-72.8118,-20.8208,0,0,0
-72.9937,-21.2048,1,2021290,-72.8739,-21.0979,0,0,0
-73.051,-21.4598,1,2021291,-72.942,-21.4121,0,0,0
-73.111,-21.6898,1,2021292,-73.012,-21.7245,0,0,0
-73.1223,-21.9179,1,2021293,-73.0795,-21.996,0,0,0
-73.1722,-22.1371,1,2021294,-73.1403,-22.1875,0,0,0
-73.2038,-22.332,1,2021295,-73.19,-22.26,1,37,11
-73.2038,-22.332,1,2021296,-73.2313,-22.26,0,0,0
-73.2079,-22.4124,0,2021297,-73.2696,-22.26,0,0,0
-73.2189,-22.5964,0,2021298,-73.305,-22.26,0,0,0
-73.2351,-22.7979,1,2021299,-73.3377,-22.26,0,0,0
-73.2921,-23.0014,0,2021300,-73.3677,-22.26,0,0,0
-73.3846,-23.2296,0,2021301,-73.3951,-22.26,0,0,0
-73.4494,-23.4541,1,2021302,-73.42,-22.26,1,37,11
-73.4776,-23.6609,0,2021303,-73.4423,-22.3647,0,0,0
-73.5023,-23.8576,0,2021304,-73.4621,-22.6432,0,0,0
-73.5238,-24.0485,0,2021305,-73.4803,-23.042,0,0,0
-73.5423,-24.2378,0,2021306,-73.4974,-23.5076,0,0,0
-73.5581,-24.4297,0,2021307,-73.5143,-23.9864,0,0,0
-73.5713,-24.6285,0,2021308,-73.5316,-24.4251,0,0,0
-73.5823,-24.8383,0,2021309,-73.55,-24.77,1,37,11
-73.5912,-25.0635,0,2021310,-73.5688,-25.0452,0,0,0
-73.5983,-25.3082,1,2021311,-73.5871,-25.3088,0,0,0
-73.6029,-25.6058,1,2021312,-73.6054,-25.5588,0,0,0
-73.6176,-25.8625,0,2021313,-73.6243,-25.793,0,0,0
-73.6394,-26.078,1,2021314,-73.6443,-26.0093,0,0,0
-73.6633,-26.2475,0,2021315,-73.666,-26.2057,0,0,0
-73.69,-26.38,1,2021316,-73.69,-26.38,1,37,11
-73.7201,-26.4631,0,2021317,-73.7177,-26.5355,0,0,0
-73.7475,-26.5536,1,2021318,-73.7494,-26.6779,0,0,0
-73.7654,-26.7468,1,2021319,-73.784,-26.8093,0,0,0
-73.8341,-26.8993,1,2021320,-73.8205,-26.9313,0,0,0
-73.8341,-26.8993,1,2021321,-73.8577,-27.0458,0,0,0
-73.8756,-27.2445,1,2021322,-73.8946,-27.1548,0,0,0
-73.9357,-27.3792,1,2021323,-73.93,-27.26,1,37,11
-73.946,-27.4663,1,2021324,-73.9654,-27.3694,0,0,0
-74.0034,-27.5406,1,2021325,-74.0023,-27.4846,0,0,0
-74.0481,-27.629,0,2021326,-74.0395,-27.5979,0,0,0
-74.0864,-27.7208,0,2021327,-74.076,-27.7018,0,0,0
-74.1156,-27.7889,1,2021328,-74.1106,-27.7885,0,0,0
-74.1335,-27.8254,0,2021329,-74.1423,-27.8505,0,0,0
-74.1513,-27.8577,1,2021330,-74.17,-27.88,1,37,11
-74.1838,-27.9123,0,2021331,-74.1938,-27.8901,0,0,0
-74.2182,-27.9474,1,2021332,-74.2151,-27.8989,0,0,0
-74.246,-27.9462,0,2021333,-74.2346,-27.9063,0,0,0
-74.2745,-27.9431,0,2021334,-74.2532,-27.9121,0,0,0
-74.3028,-27.9386,0,2021335,-74.2714,-27.9165,0,0,0
-74.3297,-27.9332,0,2021336,-74.2901,-27.9191,0,0,0
-74.3542,-27.9275,0,2021337,-74.31,-27.92,1,37,11
-74.3751,-27.9221,0,2021338,-74.3302,-27.9139,0,0,0
-74.3914,-27.9176,0,2021339,-74.3498,-27.8982,0,0,0
-74.4019,-27.9145,0,2021340,-74.3693,-27.8767,0,0,0
-74.4057,-27.9133,1,2021341,-74.3895,-27.8533,0,0,0
-74.4057,-27.9133,1,2021342,-74.411,-27.8318,0,0,0
-74.4329,-27.8617,0,2021343,-74.4343,-27.8161,0,0,0
-74.46,-27.81,1,2021344,-74.46,-27.81,1,37,11
-74.46,-27.81,0,2021345,-74.4929,-27.816,0,0,0
-74.46,-27.81,1,2021346,-74.5344,-27.8326,0,0,0
-74.4939,-27.8473,0,2021347,-74.5802,-27.8572,0,0,0
-74.5664,-27.9166,0,2021348,-74.6259,-27.8877,0,0,0
-74.6342,-27.9539,1,2021349,-74.6673,-27.9215,0,0,0
-74.6809,-27.9464,1,2021350,-74.7001,-27.9564,0,0,0
-74.6809,-27.9464,1,2021351,-74.72,-27.99,1,37,11
-74.7398,-28.1787,1,2021352,-74.7316,-28.0302,0,0,0
-74.7433,-28.3962,1,2021353,-74.7421,-28.0823,0,0,0
-74.7433,-28.3962,1,2021354,-74.7514,-28.1396,0,0,0
-74.7893,-28.5573,1,2021355,-74.7591,-28.1955,0,0,0
-74.7893,-28.5573,1,2021356,-74.765,-28.2436,0,0,0
-74.7926,-28.5344,0,2021357,-74.7687,-28.2773,0,0,0
-74.7986,-28.4918,0,2021358,-74.77,-28.29,1,37,11
-74.8019,-28.4689,1,2021359,-74.7694,-28.2757,0,0,0
-74.8019,-28.4689,0,2021360,-74.768,-28.2385,0,0,0
-74.8019,-28.4689,1,2021361,-74.7661,-28.1874,0,0,0
-74.8046,-28.3689,0,2021362,-74.7639,-28.1312,0,0,0
-74.8073,-28.2688,1,2021363,-74.762,-28.0787,0,0,0
-74.8073,-28.2688,1,2021364,-74.7606,-28.0387,0,0,0
-74.8068,-28.2658,0,2021365,-74.76,-28.02,1,37,11
-74.8042,-28.2518,0,2022001,-74.76,-28.0131,0,0,0
-74.8017,-28.2377,0,2022002,-74.76,-28.0092,0,0,0
-74.7986,-28.2212,0,2022003,-74.76,-28.006,0,0,0
-74.7954,-28.2032,0,2022004,-74.76,-28.0034,0,0,0
-74.7921,-28.185,0,2022005,-74.76,-28.0015,0,0,0
-74.7889,-28.1676,0,2022006,-74.76,-28.0004,0,0,0
-74.7861,-28.1522,0,2022007,-74.76,-28,1,37,11
-74.7838,-28.1398,0,2022008,-74.759,-28.0075,0,0,0
-74.7823,-28.1315,0,2022009,-74.7564,-28.0284,0,0,0
-74.7818,-28.1285,1,2022010,-74.7524,-28.0607,0,0,0
-74.7968,-28.2607,1,2022011,-74.7474,-28.1021,0,0,0
-74.7844,-28.2852,0,2022012,-74.7418,-28.1506,0,0,0
-74.768,-28.3035,1,2022013,-74.7359,-28.2039,0,0,0
-74.7617,-28.3357,0,2022014,-74.73,-28.26,1,37,11
-74.7569,-28.3822,1,2022015,-74.7241,-28.3307,0,0,0
-74.7514,-28.493,0,2022016,-74.7175,-28.426,0,0,0
-74.7463,-28.6397,0,2022017,-74.7102,-28.5411,0,0,0
-74.7441,-28.713,1,2022018,-74.702,-28.6709,0,0,0
-74.7441,-28.713,1,2022019,-74.6927,-28.8106,0,0,0
-74.6996,-28.941,1,2022020,-74.6821,-28.9553,0,0,0
-74.67,-29.1,1,2022021,-74.67,-29.1,1,37,11
-74.67,-29.1,1,2022022,-74.652,-29.2582,0,0,0
-74.6617,-29.2762,1,2022023,-74.6258,-29.4397,0,0,0
-74.6332,-29.3906,1,2022024,-74.5948,-29.6343,0,0,0
-74.6144,-29.7446,1,2022025,-74.5624,-29.8318,0,0,0
-74.5666,-29.9105,1,2022026,-74.5318,-30.0221,0,0,0
-74.5547,-30.0598,1,2022027,-74.5066,-30.1949,0,0,0
-74.5389,-30.2404,0,2022028,-74.49,-30.34,1,37,11
-74.5194,-30.4329,0,2022029,-74.4797,-30.4657,0,0,0
-74.495,-30.5931,1,2022030,-74.4709,-30.5859,0,0,0
-74.4481,-30.7104,0,2022031,-74.4633,-30.6988,0,0,0
-74.4148,-30.8022,1,2022032,-74.4567,-30.8024,0,0,0
-74.4283,-30.8636,0,2022033,-74.4508,-30.8951,0,0,0
-74.4417,-30.9274,1,2022034,-74.4453,-30.9749,0,0,0
